+1.000e-01;  | +5.698e+01; +4.901e+01; +1.920e+01; +1.614e+00; +1.695e+01;  | +1.730e+01; +8.481e+00; +6.379e+00; +8.821e+00; +5.924e+00;  | +7.974e+00; +2.981e+01; +1.759e+01; +3.206e+01; +1.534e+01;  | +7.974e+00; +2.981e+01; +1.759e+01; +3.206e+01; +1.534e+01;  | +1.380e+02; +2.528e+02; +1.122e+02; +2.828e+02; +9.085e+01;  | -9.282e+01
+1.211e-01;  | +5.662e+01; +5.324e+01; +2.119e+01; +1.899e+00; +1.892e+01;  | +1.797e+01; +8.820e+00; +6.706e+00; +9.153e+00; +6.267e+00;  | +3.373e+00; +3.205e+01; +1.929e+01; +3.432e+01; +1.702e+01;  | +3.373e+00; +3.205e+01; +1.929e+01; +3.432e+01; +1.702e+01;  | +6.063e+01; +2.827e+02; +1.294e+02; +3.142e+02; +1.067e+02;  | -1.041e+02
+1.421e-01;  | +5.648e+01; +5.489e+01; +2.197e+01; +2.012e+00; +1.969e+01;  | +1.823e+01; +8.948e+00; +6.830e+00; +9.278e+00; +6.396e+00;  | +1.585e+00; +3.292e+01; +1.996e+01; +3.520e+01; +1.768e+01;  | +1.585e+00; +3.292e+01; +1.996e+01; +3.520e+01; +1.768e+01;  | +2.890e+01; +2.946e+02; +1.363e+02; +3.266e+02; +1.131e+02;  | -1.085e+02
+1.632e-01;  | +5.642e+01; +5.560e+01; +2.231e+01; +2.061e+00; +2.002e+01;  | +1.833e+01; +9.003e+00; +6.883e+00; +9.332e+00; +6.451e+00;  | +8.178e-01; +3.329e+01; +2.025e+01; +3.558e+01; +1.796e+01;  | +8.178e-01; +3.329e+01; +2.025e+01; +3.558e+01; +1.796e+01;  | +1.499e+01; +2.997e+02; +1.394e+02; +3.320e+02; +1.159e+02;  | -1.104e+02
+1.842e-01;  | +5.639e+01; +5.593e+01; +2.247e+01; +2.085e+00; +2.018e+01;  | +1.839e+01; +9.028e+00; +6.908e+00; +9.357e+00; +6.477e+00;  | +4.551e-01; +3.347e+01; +2.038e+01; +3.575e+01; +1.809e+01;  | +4.551e-01; +3.347e+01; +2.038e+01; +3.575e+01; +1.809e+01;  | +8.367e+00; +3.021e+02; +1.408e+02; +3.345e+02; +1.172e+02;  | -1.113e+02
+2.053e-01;  | +5.637e+01; +5.610e+01; +2.255e+01; +2.097e+00; +2.026e+01;  | +1.841e+01; +9.041e+00; +6.920e+00; +9.369e+00; +6.491e+00;  | +2.694e-01; +3.356e+01; +2.045e+01; +3.585e+01; +1.816e+01;  | +2.694e-01; +3.356e+01; +2.045e+01; +3.585e+01; +1.816e+01;  | +4.959e+00; +3.034e+02; +1.415e+02; +3.359e+02; +1.179e+02;  | -1.118e+02
+2.263e-01;  | +5.637e+01; +5.620e+01; +2.259e+01; +2.103e+00; +2.030e+01;  | +1.843e+01; +9.049e+00; +6.927e+00; +9.376e+00; +6.498e+00;  | +1.677e-01; +3.361e+01; +2.049e+01; +3.590e+01; +1.820e+01;  | +1.677e-01; +3.361e+01; +2.049e+01; +3.590e+01; +1.820e+01;  | +3.089e+00; +3.041e+02; +1.419e+02; +3.366e+02; +1.183e+02;  | -1.120e+02
+2.474e-01;  | +5.636e+01; +5.625e+01; +2.262e+01; +2.107e+00; +2.033e+01;  | +1.843e+01; +9.053e+00; +6.931e+00; +9.381e+00; +6.502e+00;  | +1.088e-01; +3.363e+01; +2.051e+01; +3.592e+01; +1.822e+01;  | +1.088e-01; +3.363e+01; +2.051e+01; +3.592e+01; +1.822e+01;  | +2.005e+00; +3.045e+02; +1.422e+02; +3.370e+02; +1.185e+02;  | -1.122e+02
+2.684e-01;  | +5.636e+01; +5.629e+01; +2.263e+01; +2.109e+00; +2.034e+01;  | +1.844e+01; +9.055e+00; +6.934e+00; +9.383e+00; +6.505e+00;  | +7.312e-02; +3.365e+01; +2.053e+01; +3.594e+01; +1.824e+01;  | +7.312e-02; +3.365e+01; +2.053e+01; +3.594e+01; +1.824e+01;  | +1.348e+00; +3.047e+02; +1.423e+02; +3.372e+02; +1.186e+02;  | -1.123e+02
+2.895e-01;  | +5.636e+01; +5.631e+01; +2.264e+01; +2.111e+00; +2.035e+01;  | +1.844e+01; +9.057e+00; +6.935e+00; +9.385e+00; +6.506e+00;  | +5.063e-02; +3.366e+01; +2.053e+01; +3.595e+01; +1.824e+01;  | +5.063e-02; +3.366e+01; +2.053e+01; +3.595e+01; +1.824e+01;  | +9.338e-01; +3.049e+02; +1.424e+02; +3.374e+02; +1.187e+02;  | -1.123e+02
